Profile,Profile_no,Stage,Datetime,Latitude,Longitude,MLD,Sun_angle,Kd380,Kd443,Kd490,Kd555
85,85,190,07-Mar-2024 13:43:13,55.2061478333333,14.5377911666667,27.8,22.3014290479951,1.05002477970217,0.396522335523231,0.230449590272214,NaN
85,85,590,12-Mar-2024 13:12:26,55.2167183333333,14.5421126666667,29.6,26.6930859143742,0.937207692277632,0.384530515649269,0.221086629876391,0.177010647396845
86,86,190,12-Mar-2024 13:38:19,55.2167183333333,14.5421126666667,32,24.4466129084652,0.979178789010296,0.38347176017673,0.224381411288967,0.182183264110305
86,86,590,17-Mar-2024 13:06:02,55.217701,14.5332891666667,7.6,28.9635186363231,1.24679788521786,NaN,NaN,NaN
87,87,190,17-Mar-2024 13:31:12,55.217701,14.5332891666667,9.6,26.8117149272037,1.29070501537319,0.5624938274792,NaN,NaN
87,87,590,22-Mar-2024 12:39:48,55.2201766666667,14.5279978333333,23,32.6427757938571,NaN,0.390295600239669,0.225295677938962,0.18286755962595
88,88,190,22-Mar-2024 13:08:26,55.2201766666667,14.5279978333333,22,30.5215826664816,1.09081560708773,0.418215473656105,0.232910718714957,0.186794520382174
88,88,590,27-Mar-2024 12:39:35,55.2243623333333,14.542936,5.2,34.4408820258961,1.2321263424978,0.565947286387573,NaN,NaN
89,89,190,27-Mar-2024 13:05:05,55.2243623333333,14.542936,9.4,32.5182814478953,1.23030456042673,0.558497973452439,0.349894783035835,NaN
89,89,590,01-Apr-2024 12:33:26,55.2266138333333,14.547352,7.6,36.6173803374623,1.12872432357652,0.477324252284444,0.276698523892621,0.206851828378053
90,90,190,01-Apr-2024 12:57:59,55.2266138333333,14.547352,9.6,34.806484349781,1.14702412489715,0.495200935437314,0.306326146825761,0.250240481149535
90,90,590,06-Apr-2024 13:17:27,55.2382368333333,14.551137,7,34.7341328876923,1.25278365989359,NaN,NaN,NaN
91,91,190,06-Apr-2024 13:47:24,55.2382368333333,14.551137,9,31.6879878817091,1.18427908977413,0.562874240252339,NaN,NaN
91,91,590,11-Apr-2024 12:28:52,55.2409273333333,14.5585043333333,7,40.3411956059003,1.0207767245478,0.395860253033265,0.213284795087915,0.153599312594234
92,92,190,11-Apr-2024 12:53:21,55.2409273333333,14.5585043333333,9.8,38.4878621902129,NaN,0.432877756628547,0.24891580287623,0.188970318332773
92,92,590,16-Apr-2024 12:44:58,55.2423748333333,14.5566843333333,18.2,40.7669973842856,NaN,0.444172854757476,0.249271994581533,0.18732566390494
93,93,190,16-Apr-2024 13:11:10,55.2423748333333,14.5566843333333,24.6,38.4497261987394,NaN,0.4260768696819,0.241153055774366,0.18118806917984
93,93,590,21-Apr-2024 12:55:02,55.2427936666667,14.5486005,9.4,41.4409185388666,1.09878172721409,0.446483990099648,NaN,NaN
94,94,190,21-Apr-2024 13:18:57,55.2427936666667,14.5486005,12.4,39.1556447779901,1.07823769808652,0.448276334724228,NaN,NaN
94,94,590,26-Apr-2024 12:58:26,55.2540815,14.5622971666667,20,42.5590734227026,0.948090861132103,0.358251371004751,0.188742897130929,NaN
95,95,190,26-Apr-2024 13:22:37,55.2540815,14.5622971666667,23,40.1533786694355,1.0164218351011,0.363999348685305,0.196174862657969,NaN
95,95,590,01-May-2024 12:43:21,55.2624066666667,14.5652168333333,20.8,45.2787238554454,0.947058539547133,0.346384496203566,0.192142279723514,0.155915475789215
96,96,190,01-May-2024 13:08:32,55.2624066666667,14.5652168333333,24.4,42.9255197019934,0.955776092625864,0.356869319815636,0.199988424666778,0.162525325286459
96,96,590,06-May-2024 13:10:35,55.2618565,14.5690355,5.8,43.9755066738278,1.06606229604543,0.454547683339205,0.261307403757485,0.202686931780148
97,97,190,06-May-2024 13:34:12,55.2618565,14.5690355,9.6,41.4013672300146,1.06529968044367,0.477525014033787,0.283232606143506,0.219805202680901
97,97,590,11-May-2024 12:36:57,55.2602383333333,14.5720948333333,10,48.350696659431,0.991301938314949,0.421646160800453,NaN,NaN
98,98,190,11-May-2024 12:59:06,55.2602383333333,14.5720948333333,10,46.3107922667176,0.982556141577576,0.434112975217763,NaN,NaN
98,98,590,16-May-2024 12:49:04,55.2651945,14.567809,7.2,48.3732149744955,0.979775776501111,0.398706325482023,NaN,NaN
99,99,190,16-May-2024 13:13:33,55.2651945,14.567809,8,45.8984995520775,1.00106290529925,NaN,NaN,NaN
